"x","y","location"
789294.933961412,7965280.40482067,"extension buffer"
148193.471480617,7072294.36614088,"extension buffer"
377170.071906279,7163102.19931601,"inside region"
419519.96537604,7585136.94455682,"extension buffer"
1163153.10595817,7897439.32912179,"extension buffer"
19664.0008203506,6897564.66292054,"inside region"
600980.729196996,7364754.03150469,"extension buffer"
386524.074159972,6686130.72781194,"extension buffer"
1101791.89916404,7765042.14979243,"extension buffer"
1140866.04883113,7720533.54870712,"extension buffer"
142090.451077323,6531568.2271506,"inside region"
152571.199222708,6494152.78989852,"extension buffer"
324010.695844194,6895835.10078852,"inside region"
432669.208890086,6729344.80459147,"extension buffer"
845836.140962322,7695843.55972566,"inside region"
520507.175234196,7097672.05544235,"extension buffer"
304547.516133777,6985992.84741114,"inside region"
452751.095930361,6835034.11148942,"extension buffer"
-26708.3212230764,6779689.34156457,"inside region"
7910.9038619343,6796583.62405277,"inside region"
110207.311077474,6685845.87981293,"inside region"
170519.710379349,6420046.79629769,"extension buffer"
233754.076766934,6588085.00745944,"inside region"
-97394.6942619897,6488540.71542095,"extension buffer"
339327.98015736,7243078.84074187,"inside region"
541944.64548999,7205483.87330501,"extension buffer"
217618.212322186,6515616.5899777,"extension buffer"
274356.1311034,6512518.366187,"extension buffer"
864091.636167315,7955922.99656871,"extension buffer"
-128249.747516021,6535278.18911943,"extension buffer"
224849.344193903,6711573.31622746,"inside region"
604585.360327523,7610071.29104978,"inside region"
916909.625193295,8000148.9655542,"extension buffer"
2256.65744597584,6647243.93569099,"inside region"
172485.072205657,6797885.04611767,"inside region"
855691.123606085,7813890.87503915,"inside region"
847039.890980411,7882807.90486014,"inside region"
1086109.5484,7798136.0797924,"inside region"
169924.628055104,6559149.75244935,"inside region"
-104113.041132059,6763995.19579213,"extension buffer"
583037.558312335,7573446.41790944,"inside region"
1058862.10400016,7885540.88741809,"inside region"
995058.330004666,7921056.32191747,"inside region"
-5831.49419249308,6711228.12302886,"inside region"
301848.988779239,7369571.93361726,"extension buffer"
914919.189107649,7677683.52603961,"inside region"
732932.158353074,7595134.64970337,"inside region"
340818.467148628,6556132.00216742,"extension buffer"
261743.888679678,7365572.15474535,"extension buffer"
302674.430431332,7305948.15527392,"extension buffer"
328606.890251211,6821824.18005562,"inside region"
304854.452665472,6945276.62653262,"inside region"
319435.52720439,7537388.19256879,"extension buffer"
366123.992705371,6492443.14137109,"extension buffer"
1093058.69500918,7926337.77521759,"extension buffer"
179235.686599549,6957928.15692986,"inside region"
503970.730857117,7269184.34944682,"extension buffer"
151664.835760712,6710619.53577043,"inside region"
256723.589094408,6453563.12623261,"extension buffer"
73582.610157074,6529213.57673356,"inside region"
448394.672831339,6957759.90560717,"extension buffer"
591924.220834558,7827287.66631282,"extension buffer"
111292.636336135,7128145.50719268,"extension buffer"
521793.084626758,7132593.69954624,"extension buffer"
400222.40329865,6934791.12385045,"extension buffer"
33495.6873578219,6768762.49708336,"inside region"
12888.185339955,6531072.54802567,"inside region"
81498.6468592295,7045376.83714314,"extension buffer"
